Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,1500.0,1020.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,1500.0,1008.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,1500.0,1086.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,1500.0,1128.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,1500.0,1032.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,1500.0,1014.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,1500.0,1008.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1044.0,0.0,1500.0,1044.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,1500.0,1104.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,0.0,1500.0,1056.0
10,0.00030485715,0.0,0.0,0.0,0.0,0.0,1049.99970428856,0.0,1500.0,1050.00000914571
11,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,0.0,1500.0,1050.0
12,0.00042194685,0.0,0.0,0.0,0.0,0.0,1097.99959071156,0.0,1500.0,1098.00001265841
13,0.00071402565,0.0,0.0,0.0,0.0,0.0,1109.99930739512,0.0,1500.0,1110.00002142077
14,0.0002325999,0.0,0.0,0.0,0.0,0.0,1097.9997743781,0.0,1500.0,1098.000006978
15,0.0,0.0,0.0,0.0,0.0,0.0,1128.0,0.0,1500.0,1128.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1194.0,0.0,1500.0,1194.0
17,0.0,0.0,0.0,0.0,0.0,0.0,1158.0,0.0,1500.0,1158.0
18,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,0.0,1500.0,1368.0
19,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,1500.0,1446.0
20,0.0,0.0,0.0,0.0,0.0,0.0,1446.0,0.0,1500.0,1446.0
21,0.0,0.0,0.0,0.0,0.0,0.0,1464.0,0.0,1500.0,1464.0
22,0.0,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,1500.0,1524.0
23,0.0,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,1500.0,1488.0
24,0.0,0.0,0.0,0.0,0.0,0.0,1536.0,0.0,1500.0,1536.0
25,0.0,0.0,0.0,0.0,0.0,0.0,1548.0,0.0,1500.0,1548.0
26,0.0,0.0,0.0,0.0,0.0,0.0,1518.0,0.0,1500.0,1518.0
27,0.0,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,1500.0,1584.0
28,0.0,0.0,0.0,0.0,0.0,0.0,1578.0,0.0,1500.0,1578.0
29,0.0,0.0,0.0,0.0,0.0,0.0,1572.0,0.0,1500.0,1572.0
30,0.0,0.0,0.0,0.0,0.0,0.0,1692.0,0.0,1500.0,1692.0
31,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,0.0,1500.0,1806.0
32,0.0,0.0,0.0,0.0,1178.55,0.0,741.12585,0.0,150.0,1919.67585
33,0.00042465735,0.0,0.0,0.0,0.0,0.0,1769.99958808237,0.0,150.0,1770.0000127397202
34,0.00116799735,0.0,0.0,0.0,0.0,0.0,1745.99886704257,0.0,150.0,1746.00003503992
35,0.004235946,0.0,0.0,0.0,0.0,0.0,1721.99589113238,0.0,150.0,1722.00012707838
