Hour,P_PV_to_Load,P_PV_to_BESS,P_PV_curtailment,P_PV_to_Grid,P_BESS_to_Load,P_BESS_to_Grid,P_Grid_to_Load,P_Grid_to_BESS,SoC,sum_power_flows
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7574.16368609299,16200.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
6,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
7,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
8,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
9,201.984,0.0,0.0,0.0,0.0,0.0,2804.07552,0.0,16200.0,3006.05952
10,1020.444,0.0,0.0,0.0,0.0,0.0,2010.16932,0.0,16200.0,3030.61332
11,366.4236,0.0,0.0,0.0,0.0,0.0,2644.569108,0.0,16200.0,3010.992708
12,381.438,0.0,0.0,0.0,0.0,0.0,2630.00514,0.0,16200.0,3011.4431400000003
13,469.7754,0.0,0.0,0.0,0.0,0.0,2544.317862,0.0,16200.0,3014.093262
14,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
15,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
16,459.8892,0.0,0.0,0.0,2742.59823453608,0.0,0.0,0.0,13254.7699371391,3202.48743453608
17,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,9795.09480340188,3221.64948453608
18,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,9795.09480340188,3000.0
19,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,9795.09480340188,3000.0
20,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,9795.09480340188,3000.0
21,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,9795.09480340188,3000.0
22,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,9795.09480340188,3000.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9795.09480340188,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9795.09480340188,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9795.09480340188,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9795.09480340188,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6737.75004901969,16200.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
30,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
31,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
32,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
33,346.6218,0.0,0.0,0.0,0.0,0.0,2663.776854,0.0,16200.0,3010.398654
34,408.7704,0.0,0.0,0.0,0.0,0.0,2603.492712,0.0,16200.0,3012.263112
35,874.524,0.0,0.0,0.0,0.0,0.0,2151.71172,0.0,16200.0,3026.23572
36,176.0868,0.0,0.0,0.0,0.0,0.0,2829.195804,0.0,16200.0,3005.282604
37,391.857,0.0,0.0,0.0,0.0,0.0,2619.89871,0.0,16200.0,3011.75571
38,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
39,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,12740.3248662628,3221.64948453608
40,459.8874,0.0,0.0,0.0,2742.60010953608,0.0,0.0,0.0,9795.09278987096,3202.48750953608
41,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,6335.41765613375,3221.64948453608
42,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,2875.74252239655,3221.64948453608
43,0.0,0.0,0.0,0.0,1001.73143685567,0.0,2067.187686,0.0,1800.0,3068.91912285567
44,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
45,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
46,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
54,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
55,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
56,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
57,0.05916738,0.0,0.0,0.0,0.0,0.0,2999.9426076414,0.0,16200.0,3000.0017750214
58,0.1448328,0.0,0.0,0.0,0.0,0.0,2999.859512184,0.0,16200.0,3000.004344984
59,21.0627,0.0,0.0,0.0,0.0,0.0,2979.569181,0.0,16200.0,3000.631881
60,0.00756294,0.0,0.0,0.0,0.0,0.0,2999.9926639482,0.0,16200.0,3000.0002268882
61,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
62,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
63,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
64,434.9928,0.0,0.0,0.0,0.0,0.0,2578.056984,0.0,16200.0,3013.049784
65,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
66,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
67,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
68,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
69,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
70,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
78,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
79,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
80,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
81,490.1652,0.0,0.0,0.0,0.0,0.0,2524.539756,0.0,16200.0,3014.704956
82,1399.644,0.0,0.0,0.0,0.0,0.0,1642.34532,0.0,16200.0,3041.98932
83,900.552,0.0,0.0,0.0,0.0,0.0,2126.46456,0.0,16200.0,3027.01656
84,338.7696,0.0,0.0,0.0,0.0,0.0,2671.393488,0.0,16200.0,3010.163088
85,679.212,0.0,0.0,0.0,0.0,0.0,2341.16436,0.0,16200.0,3020.37636
86,0.0,0.0,0.0,0.0,951.883311855667,0.0,2113.60626,0.0,15177.7885396739,3065.4895718556672
87,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,11718.1134059367,3221.64948453608
88,412.0332,0.0,0.0,0.0,2792.44823453608,0.0,0.0,0.0,8719.3502674744,3204.48143453608
89,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,5259.6751337372,3221.64948453608
90,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1800.0,3221.64948453608
91,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
92,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
93,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
94,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
102,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
103,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
104,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
105,740.85,0.0,0.0,0.0,0.0,0.0,2281.3755,0.0,16200.0,3022.2255
106,301.4268,0.0,0.0,0.0,0.0,0.0,2707.616004,0.0,16200.0,3009.042804
107,546.7308,0.0,0.0,0.0,2652.13823453608,0.0,0.0,0.0,13351.9134079295,3198.86903453608
108,325.0092,0.0,0.0,0.0,0.0,0.0,2684.741076,0.0,13351.9134079295,3009.750276
109,216.3246,0.0,0.0,0.0,1092.19331185567,0.0,1773.114726,0.0,12179.0254012116,3081.6326378556696
110,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12179.0254012116,3000.0
111,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,8719.3502674744,3221.64948453608
112,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,5259.6751337372,3221.64948453608
113,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1800.0,3221.64948453608
114,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
115,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
116,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
117,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
118,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
126,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
127,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
128,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
129,34.68654,0.0,0.0,0.0,0.0,0.0,2966.3540562,0.0,16200.0,3001.0405962
130,99.2154,0.0,0.0,0.0,0.0,0.0,2903.761062,0.0,16200.0,3002.976462
131,199.4436,0.0,0.0,0.0,0.0,0.0,2806.539708,0.0,16200.0,3005.983308
132,269.7372,0.0,0.0,0.0,0.0,0.0,2738.354916,0.0,16200.0,3008.092116
133,263.1732,0.0,0.0,0.0,0.0,0.0,2744.721996,0.0,16200.0,3007.8951960000004
134,0.0,0.0,0.0,0.0,522.682061855668,0.0,2513.278464,0.0,15638.7005349488,3035.960525855668
135,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,12179.0254012116,3221.64948453608
136,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,8719.3502674744,3221.64948453608
137,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,5259.6751337372,3221.64948453608
138,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1800.0,3221.64948453608
139,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
140,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
141,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
142,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
150,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
151,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
152,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
153,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
154,75.6528,0.0,0.0,0.0,0.0,0.0,2926.616784,0.0,16200.0,3002.269584
155,165.1662,0.0,0.0,0.0,3049.60135953608,0.0,0.0,0.0,12925.08445067,3214.76755953608
156,97.9464,0.0,0.0,0.0,3119.62198453608,0.0,0.0,0.0,9574.97493119398,3217.56838453608
157,26.75154,0.0,0.0,0.0,0.0,0.0,2974.0510062,0.0,9574.97493119398,3000.8025462
158,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,9574.97493119398,3000.0
159,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,9574.97493119398,3000.0
160,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,6115.29979745678,3221.64948453608
161,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,2655.62466371957,3221.64948453608
162,0.0,0.0,0.0,0.0,796.757686855668,0.0,2258.059242,0.0,1800.0,3054.816928855668
163,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
164,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
165,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
166,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
174,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
175,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
176,0.0,0.0,0.0,0.0,913.976436855669,0.0,2148.905142,0.0,15218.4960944419,3062.881578855669
177,194.2152,0.0,0.0,0.0,3019.34198453608,0.0,0.0,0.0,11976.0755784023,3213.55718453608
178,92.8476,0.0,0.0,0.0,3124.93323453608,0.0,0.0,0.0,8620.26239698471,3217.78083453608
179,88.5798,0.0,0.0,0.0,3129.37885953608,0.0,0.0,0.0,5259.6751337372,3217.95865953608
180,67.3662,0.0,0.0,0.0,0.0,0.0,2934.654786,0.0,5259.6751337372,3002.020986
181,6.95322,0.0,0.0,0.0,0.0,0.0,2993.2553766,0.0,5259.6751337372,3000.2085966
182,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,5259.6751337372,3000.0
183,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,5259.6751337372,3000.0
184,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,5259.6751337372,3000.0
185,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1800.0,3221.64948453608
186,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
187,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
188,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
189,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
190,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
198,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
199,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
200,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
201,225.8172,0.0,0.0,0.0,0.0,0.0,2780.957316,0.0,16200.0,3006.774516
202,358.1394,0.0,0.0,0.0,705.543936855667,0.0,1995.602268,0.0,15442.3282465038,3059.285604855667
203,175.5474,0.0,0.0,0.0,3038.78760953608,0.0,0.0,0.0,12179.0254012116,3214.33500953608
204,165.3318,0.0,0.0,0.0,0.0,0.0,2839.628154,0.0,12179.0254012116,3004.959954
205,10.95996,0.0,0.0,0.0,0.0,0.0,2989.3688388,0.0,12179.0254012116,3000.3287988
206,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12179.0254012116,3000.0
207,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12179.0254012116,3000.0
208,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12179.0254012116,3000.0
209,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,8719.3502674744,3221.64948453608
210,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,5259.6751337372,3221.64948453608
211,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1800.0,3221.64948453608
212,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
213,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
214,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
222,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
223,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
224,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
225,262.5132,0.0,0.0,0.0,0.0,0.0,2745.362196,0.0,16200.0,3007.875396
226,304.6788,0.0,0.0,0.0,0.0,0.0,2704.461564,0.0,16200.0,3009.1403640000003
227,52.07364,0.0,0.0,0.0,0.0,0.0,2949.4885692,0.0,16200.0,3001.5622092
228,373.6572,0.0,0.0,0.0,0.0,0.0,2637.552516,0.0,16200.0,3011.2097160000003
229,789.75,0.0,0.0,0.0,0.0,0.0,2233.9425,0.0,16200.0,3023.6925
230,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
231,0.0,0.0,0.0,0.0,522.682061855668,0.0,2513.278464,0.0,15638.7005349488,3035.960525855668
232,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,12179.0254012116,3221.64948453608
233,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,8719.3502674744,3221.64948453608
234,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,5259.6751337372,3221.64948453608
235,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1800.0,3221.64948453608
236,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
237,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
238,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
245,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
246,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
247,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,12740.3248662628,3221.64948453608
248,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,9280.6497325256,3221.64948453608
249,233.4498,0.0,0.0,0.0,2978.47260953608,0.0,0.0,0.0,6082.11815012001,3211.92240953608
250,1125.912,0.0,0.0,0.0,2048.82448453608,0.0,0.0,0.0,3881.92003528315,3174.73648453608
251,188.1858,0.0,0.0,0.0,0.0,0.0,2817.459774,0.0,3881.92003528315,3005.645574
252,173.7462,0.0,0.0,0.0,0.0,0.0,2831.466186,0.0,3881.92003528315,3005.212386
253,292.7622,0.0,0.0,0.0,0.0,0.0,2716.020666,0.0,3881.92003528315,3008.782866
254,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3881.92003528315,3000.0
255,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3881.92003528315,3000.0
256,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,3881.92003528315,3000.0
257,0.0,0.0,0.0,0.0,1938.68393685567,0.0,1194.697518,0.0,1800.0,3133.38145485567
258,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
259,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
260,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
261,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
262,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
270,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
271,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
272,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,12740.3248662628,3221.64948453608
273,114.1038,0.0,0.0,0.0,0.0,0.0,2889.319314,0.0,12740.3248662628,3003.423114
274,83.1114,0.0,0.0,0.0,522.682061855668,0.0,2432.660406,0.0,12179.0254012116,3038.453867855668
275,87.2316,0.0,0.0,0.0,0.0,0.0,2915.385348,0.0,12179.0254012116,3002.616948
276,174.435,0.0,0.0,0.0,0.0,0.0,2830.79805,0.0,12179.0254012116,3005.23305
277,48.64596,0.0,0.0,0.0,0.0,0.0,2952.8134188,0.0,12179.0254012116,3001.4593788
278,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12179.0254012116,3000.0
279,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,12179.0254012116,3000.0
280,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,8719.3502674744,3221.64948453608
281,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,5259.6751337372,3221.64948453608
282,0.0,0.0,0.0,0.0,3221.64948453608,0.0,0.0,0.0,1800.0,3221.64948453608
283,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
284,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
285,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
286,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,1800.0,3000.0
287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15148.327372186,16200.0,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0,750.0,0.0,16200.0,750.0
294,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,16200.0,3000.0
